SES.Quintile,Sex,Month,Age,Deaths.2015,Deaths.2016,Deaths.2017,Deaths.2018,Deaths.2019
1,1,9,4-Jan,45,52.00289635,45,50.00351833,45.00680079
2,1,9,4-Jan,44.00565498,37.00320092,51.00176012,39,40.00325258
3,1,9,4-Jan,28.00120004,37,30.00143836,39.00367551,22.00085962
4,1,9,4-Jan,18.00199822,24.00378297,27,33.00144256,26.0036305
5,1,9,4-Jan,21.00370831,14.00222236,23,26.00896159,22.0026985
All,1,9,4-Jan,156.0130981,164.0150062,176.0030981,187.0181486,155.0160887
1,2,9,4-Jan,46,34.00114539,33.00242307,29,35.00247777
2,2,9,4-Jan,27,37.00168052,34.00163339,24,25.00126502
3,2,9,4-Jan,21.00204384,33.00287329,27.00113208,28,25
4,2,9,4-Jan,22,19.00087816,18.00084746,21.00120773,26
5,2,9,4-Jan,22.00114312,15.00073251,10,15.00241096,14.00169456
All,2,9,4-Jan,138.0040311,138.0078853,122.0057203,117.0033321,125.0058363
1,1,10,4-Jan,47.00328689,46.003088,38.00499309,40.00141729,43.00343782
2,1,10,4-Jan,43.00228368,33,32.00234028,35.0012801,37
3,1,10,4-Jan,35.00335205,42.00146783,37.0012523,40,42
4,1,10,4-Jan,31.00183038,26.00109279,40.00770652,20.00117256,24.00105082
5,1,10,4-Jan,22.00251089,18.0030665,20.0018609,21.00885282,22.00114734
All,1,10,4-Jan,178.0125323,165.0112489,167.0182827,156.0142457,168.0068488
1,2,10,4-Jan,41,37,33.00139784,29,22
2,2,10,4-Jan,26.00086828,34,28,28.00352121,22
3,2,10,4-Jan,34.00180319,35.00145283,32,15,24
4,2,10,4-Jan,22,28.00172187,20,32,22
5,2,10,4-Jan,13,20.00056587,12,16.00291885,NA
All,2,10,4-Jan,136.002475,154.0041412,125.0011124,120.0074056,98
1,1,11,4-Jan,52.00168327,42.00701937,42.00108053,56.00174651,27.00173027
2,1,11,4-Jan,39.00119383,42,36.00136152,45,31.00091996
3,1,11,4-Jan,33,46.00498882,37,33,25
4,1,11,4-Jan,24.00139755,18.00092156,31.00513631,26.00156909,30.00282101
5,1,11,4-Jan,20.00109609,27.00329761,19.00061697,19.00807347,18.00216174
All,1,11,4-Jan,168.0060183,175.0150974,165.0097315,179.0149722,131.0074299
1,2,11,4-Jan,36,28.00089102,40,37,47.00184584
2,2,11,4-Jan,41,28,34.00120234,35,31.0010775
3,2,11,4-Jan,22.00097449,26.00073469,37,29,18
4,2,11,4-Jan,31,30,16.00052301,23,18.00108739
5,2,11,4-Jan,14.00079763,29.00786645,18.00103983,13.00141715,13.00318657
All,2,11,4-Jan,144.0026636,141.0088614,145.0038772,137.0024076,127.0087895
1,1,12,4-Jan,50.00151563,54.00842965,58.00171401,48.00296375,50.00168151
2,1,12,4-Jan,41.00320374,31.00160305,42.00771059,30.00105644,58
3,1,12,4-Jan,35.00290047,25,41,34,30
